timestamp_pc,accel_x,accel_y,accel_z
2025-06-04T19:30:21.483592,10.204087,0.220267,-2.221819
2025-06-04T19:30:21.483592,10.21127,0.213084,-2.219425
2025-06-04T19:30:24.175771,10.19451,0.227449,-2.219425
2025-06-04T19:30:24.175771,10.18254,0.227449,-2.240973
2025-06-04T19:30:24.175771,10.204087,0.241814,-2.236184
2025-06-04T19:30:24.175771,10.21127,0.244209,-2.238579
2025-06-04T19:30:24.175771,10.192117,0.237026,-2.221819
2025-06-04T19:30:24.175771,10.218452,0.237026,-2.236184
2025-06-04T19:30:24.175771,10.206482,0.217872,-2.274492
2025-06-04T19:30:24.175771,10.208876,0.232238,-2.23379
2025-06-04T19:30:24.175771,10.199299,0.237026,-2.221819
2025-06-04T19:30:24.175771,10.201694,0.217872,-2.243367
2025-06-04T19:30:24.175771,10.242394,0.241814,-2.20506
2025-06-04T19:30:24.175771,10.192117,0.222661,-2.231396
2025-06-04T19:30:24.182608,10.201694,0.232238,-2.238579
2025-06-04T19:30:24.182608,10.206482,0.251391,-2.245761
2025-06-04T19:30:24.183718,10.141838,0.237026,-2.221819
2025-06-04T19:30:24.183718,10.139444,0.265756,-2.243367
2025-06-04T19:30:24.183718,10.141838,0.244209,-2.229002
2025-06-04T19:30:24.183718,10.139444,0.215478,-2.200271
2025-06-04T19:30:24.183718,10.163386,0.227449,-2.217031
2025-06-04T19:30:24.183718,10.180145,0.205901,-2.224213
2025-06-04T19:30:24.183718,10.175357,0.213084,-2.202666
2025-06-04T19:30:24.183718,10.184934,0.21069,-2.217031
2025-06-04T19:30:24.183718,10.196905,0.201113,-2.195483
2025-06-04T19:30:24.183718,10.19451,0.237026,-2.207454
2025-06-04T19:30:24.183718,10.208876,0.251391,-2.221819
2025-06-04T19:30:24.183718,10.199299,0.23942,-2.229002
2025-06-04T19:30:24.183718,10.201694,0.244209,-2.243367
2025-06-04T19:30:24.183718,10.206482,0.241814,-2.264915
2025-06-04T19:30:24.192132,10.225636,0.263362,-2.226608
2025-06-04T19:30:24.192132,10.216059,0.244209,-2.23379
2025-06-04T19:30:24.192132,10.199299,0.244209,-2.238579
2025-06-04T19:30:24.192132,10.240001,0.227449,-2.219425
2025-06-04T19:30:24.192132,10.249578,0.213084,-2.221819
2025-06-04T19:30:24.192132,10.216059,0.229843,-2.217031
2025-06-04T19:30:24.192132,10.254366,0.222661,-2.219425
2025-06-04T19:30:24.192132,10.240001,0.241814,-2.221819
